paper_sha,paper_title,paper_year,paper_venue,n_citations,n_key_citations
ae60dee7770c2ba96c2f4bd9d105cb1503ca343d,Antiviral effect of catechins in green tea on influenza virus.,2005.0,Antiviral research,246.0,
3049c6ef5809d6820bcf6188ebef3ce34d6ae614,The amygdala: vigilance and emotion,2001.0,Molecular Psychiatry,1614.0,
0c48112afef19c939567a5546c91fa4e296b275a,Gastronomy in Tourism,2016.0,,18.0,
6621f6f8087226645cc00120a9b14da4354518ca,Influence of violent media on children and adolescents,2005.0,,3.0,
ce95714e2a2c206517471a14095bf1d8a26f4a11,Measures of personality and social psychological attitudes.,1991.0,,883.0,
83e5d6b25f33bd06784b7aff437f39f45dbc7d87,Empowering Low-Latency Applications Through a Serverless Edge Computing Architecture,2017.0,ESOCC,14.0,
ff2f1d32dff3aa84ffee4da6c6470c2f78915c2d,Numerical simulation of the friction stir welding process,2004.0,,21.0,
55f44d39630646f36eac91358f8f27d1bead384c,YALE: rapid prototyping for complex data mining tasks,2006.0,KDD '06,812.0,
1398288476d0343baf538f123ce5814be3de612a,Initial Studies on Alkaloids from Lombok Medicinal Plants,2001.0,Molecules : A Journal of Synthetic Chemistry and Natural Product Chemistry,67.0,
1db942bdb87978633474732242e0493e777ea82c,Adventitious rooting of auxin-treated Lavandula dentata cuttings,2010.0,,4.0,
30b075b085ae9eb558d4c60eb80a3d7d82863810,Self-compassion in online accounts of nonsuicidal self-injury: An interpretive phenomenological analysis,2014.0,,15.0,
5cec56b12b9f1eea0fc335e2f97e988410685b6f,Unpacking the Participatory Process,2007.0,,52.0,
8bc8fa66c5884414993465b4d361c99ce439ab57,From Mitochondrial Function to Neuroprotection—an Emerging Role for Methylene Blue,2017.0,Molecular Neurobiology,21.0,
6aca41972c48b8038d3a91c290b3ec032443ec6b,Marti̇n Heidegger Ve Nasyonel Sosyali̇zm: O Bi̇r Nazi̇ Mi̇ydi̇? (martin Heidegger and National Socialism: Was He a Nazi?),2016.0,,1.0,
cb700d53e6be65063d0523b4beba317edaf68bb9,A semantic web primer,2004.0,,997.0,
34080e954e99b1c8795336a6ff13330a1f1367ab,Research Ethics for Social Scientists:between ethical conduct and regulatory compliance,2006.0,,127.0,
59bc3257f67c09baf51442b3a92ab0076e281891,The Impact of Brand Image on Consumer Behavior: A Literature Review,2015.0,,74.0,
08b4ef64497107c71553f163ecf880f6d1a53a5d,Protecting adolescents from harm. Findings from the National Longitudinal Study on Adolescent Health.,1997.0,JAMA,2063.0,
8ad24f66080d80f055843936bc86772912bc9868,Instructional Program Coherence: What It Is and Why It Should Guide School Improvement Policy,2001.0,,209.0,
d96faee1898de7a052115ecfe533a5b2fd1151c0,Bounds testing approaches to the analysis of level relationships,2001.0,,4634.0,
4c775488cbb7557b1e20d43d3fb7c6c286eeb7d2,powerlaw: A Python Package for Analysis of Heavy-Tailed Distributions,2014.0,PloS one,285.0,
6fa1563df38536a3a2c3b53950dcff9c73fa130e,A Contribution to the Mathematical Modeling of the Corona/COVID-19 Pandemic,2020.0,medRxiv,2.0,
13500be54e7098a3583a33d78ec5556d364f7f9c,Second Language Learning And Language Teaching,1991.0,,991.0,
2eb5111ce64bbe91916436d7f4fd2261a426bb8f,Linear FMCW radar techniques,1992.0,,531.0,
2a70068b2da3c75632e2896a2da567a5f3b35231,Visual Localisation and Individual Identification of Holstein Friesian Cattle via Deep Learning,2017.0,2017 IEEE International Conference on Computer Vision Workshops (ICCVW),11.0,
32ecf247a78a9b48be565fb614adc6bfac9511b9,Financial Liberalization and Financial Fragility,1999.0,,369.0,
cb442401a3f57dfd816ae7d9271066e50d4e3680,"Making: Anthropology, Archaeology, Art and Architecture",2013.0,,314.0,
ccda65089e9a3798eee3ad82ceb6c28d4a82c5ee,Production zone placements based on maximum closeness centrality as strategy for oil recovery,2017.0,,3.0,
7ab6265a4f377dcfc42787a4be3fd7cb0a9d39fe,"In vitro Candida colonization on acrylic resins and denture liners: influence of surface free energy, roughness, saliva, and adhering bacteria.",2007.0,The International journal of prosthodontics,78.0,
101ccce42cf4da970e2e855b9e682e74ca22ef97,The Impacts of Self-brand Congruence on Brand Loyalty: a Study on Cellular Phone Users,2012.0,,2.0,
15d4bfbd039acb81bf90841fc23e10f64f42c468,Front silver paste of crystalline silicon solar cell and preparation method thereof,2016.0,,0.0,
032837c91a544657bd815950d44502e78f100c2f,Extensive reading and development of different aspects of L2 proficiency,2008.0,,83.0,
4da6eb75cecdd85b09d5d944096e2ce6a30cd362,How cutting-edge technologies impact the design of electrochemical (bio)sensors for environmental analysis. A review.,2017.0,Analytica chimica acta,19.0,
4199fbc0a70120d237e97973ce2e258e285134ac,Quantitative assessment of Plasmodium falciparum sexual development reveals potent transmission-blocking activity by methylene blue.,2011.0,Proceedings of the National Academy of Sciences of the United States of America,140.0,
25e5f01d3d4b05a01beaacf33c2c30628f0679ca,"Ferumoxtran-10, a superparamagnetic iron oxide as a magnetic resonance enhancement agent for imaging lymph nodes: a phase 2 dose study.",2002.0,AJNR. American journal of neuroradiology,30.0,
c52cf2229777b575d14ea792800650bc4deadeb1,Indicators for optical oxygen sensors,2012.0,Bioanalytical reviews,94.0,
a3ea99da8601d1188f8cf120b3414a8c268fa203,Building character through literacy with children's literature,2014.0,,45.0,
616f4899411aaad96a1f06bad8da5ea64e0247e0,Electrical PV Array Reconfiguration Strategy for Energy Extraction Improvement in Grid-Connected PV Systems,2009.0,IEEE Transactions on Industrial Electronics,200.0,
876a4a73255bf5e0ef9a2b2d0631a44480be329e,Understanding White Beauty Myth in The Bluest Eye,2007.0,,0.0,
9cb81052ebe6cf03769985d0bc49b5388445c4bd,Ectopic Sebaceous Glands (Fordyce Spots) and Median Raphe Cysts,2019.0,,0.0,
cd3986ad19bcd24824a579486b4e550ad69faaa5,Shape Discrimination Using Fourier Descriptors,1977.0,IEEE Transactions on Pattern Analysis and Machine Intelligence,735.0,
10e5b01d166c37015a92ac938f333a7f0741f596,Blue Button use by patients to access and share health record information using the Department of Veterans Affairs' online patient portal,2014.0,JAMIA,59.0,
c2407b31bdcb078b7c131826e457b5005383bccd,Practical Genetic Counselling,1981.0,,152.0,
38e754809c5202cc097e865a8182f228c384fb94,Causes of Pecola＇s Tragedy in The Bluest Eye,2014.0,,0.0,
e72f3ab6845a550cb9379ede1c9f4e5d40d19ff2,Pubic Hair Transplantation,2018.0,,3.0,
92e264649624a64685d48a1c74c8f0d58ddeaaa5,Method for evaluating effectiveness of surgical masks.,1962.0,Journal of bacteriology,16.0,
53200ba1cb833c357f1e93e2f2dfd39685cc205d,Non-destructive acoustic defect detection in drug tablets.,2008.0,International journal of pharmaceutics,11.0,
274b78e5f9f100b5e048d38d8b0066c802a8d00e,"Middle East Respiratory Syndrome Coronavirus in Bats, Saudi Arabia",2013.0,Emerging infectious diseases,354.0,
f3e94752460acfcac5b7c97213ae54dc1891d912,Unilateral buccal fordyce spots with ipsilateral facial paralysis: a sign of neuro-sebaceous connection?,2012.0,,2.0,
685d932b2629a0bf6152aa0552a35f8004ee6787,Stochastic Processes for Insurance and Finance,1999.0,,474.0,
6cfbf053d22382cef7a924a4cf79bd422b9d96fb,Tracing the lineage of view data in a warehousing environment,2000.0,TODS,332.0,
38053991fb0eef895330f082556da9cfcf2388d6,Emergent Strategies for the Next Phase of COVID-19,2020.0,Infection & chemotherapy,3.0,
167abf8617dc3a30990addfcf6fb3161ff222f21,Myocardial perfusion and MR angiography of chest with SH U 555 C: results of placebo-controlled clinical phase i study.,2004.0,Radiology,20.0,
194afdf27aa4bdc428b10e93dea95c46b32e93e7,Prediction of difficult mask ventilation.,2000.0,Anesthesiology,220.0,
9c5ec9b42189f5e740e22ba02f2410a46aaa8258,Business model innovation: it's not just about technology anymore,2007.0,,520.0,
5ffb01c1413f02b63e61cc899c1b54e96a29dafb,Targeting Economic Diversification: An Application of Target MOTAD Procedures,2001.0,,1.0,
aaf1c698f1df87f35f9110f57d3064f7ed157e53,Clinical characteristics of 2019 novel coronavirus infection in China,2020.0,medRxiv,220.0,
744465c522f4af5626910f4bf49bc0080bad8150,Analytical Chemistry in Archaeology,2007.0,,89.0,
ad2a99e9557b2392591d143dd9732f62e338ee82,500-MS/s 5-bit ADC in 65-nm CMOS With Split Capacitor Array DAC,2007.0,IEEE Journal of Solid-State Circuits,208.0,
1d3da87e660339699a21a187136991947938cc1b,Standardization in digital pathology: Supplement 145 of the DICOM standards,2011.0,Journal of pathology informatics,39.0,
49b1c40ac725bd631b0a1224696ce5cde99a1327,A Semantic Approach to Enhance HITS Algorithm for Extracting Associated Concepts Using ConceptNet,2015.0,,3.0,
bdf067f0dfc22097a910c4bd4539bf2de070c447,The Value of Prior Knowledge in Discovering Motifs with MEME,1995.0,ISMB,497.0,
b2f24606271b959806061c64f81130e5ad75d410,Soviet Russians under Nazi Occupation: Fragile Loyalties in World War II,2018.0,,1.0,
e73bc0b1965a6ee81ec1f6d9dacffe3d4408689b,Mini-Projektor basierte Augmented Reality für medizinische Anwendungen,2010.0,CURAC,1.0,
b04be8a1cafcc0f5aba03ad4d63129d4c13f9e2c,"Passport Italy : your pocket guide to Italian business, customs & etiquette",1997.0,,1.0,
881061ab139a89fe629f5663c6da2db43c186493,Remus: High Availability via Asynchronous Virtual Machine Replication. (Best Paper),2008.0,NSDI,517.0,
f95a2a61f545e731b5637708221d5c360ad272e1,Mediating the Message: Theories of Influences on Mass Media Content,1995.0,,893.0,
b7fb64f19cde9f13ccc9c1ac84b07a9510122ab1,Influence of Curing Methods and Storage Conditions on the Post-harvest Quality of Onion Bulbs,2013.0,,6.0,
b88458af97db660eb44832107f58a59432520170,Clinical findings in 111 cases of influenza A (H7N9) virus infection.,2013.0,The New England journal of medicine,354.0,
c338391c2317d60fcde56fb3968146fc7e2efb68,"Approaching awe, a moral, spiritual, and aesthetic emotion",2003.0,Cognition & emotion,382.0,
4db4282499903a0e62a6f822f7c220736512823b,Trauma and the Vietnam War Generation,1992.0,The Yale Journal of Biology and Medicine,54.0,
1601e9f2bbf89f04f967a4f5f49d7adeca7f0719,Building a COVID-19 Vulnerability Index,2020.0,medRxiv,5.0,
9aa6b136b013fdd822c8e9fb93aced6a30b5d7c7,On the applications of efficient NFV management towards 5G networking,2014.0,1st International Conference on 5G for Ubiquitous Connectivity,12.0,
7b080ba1e1a842bc715fc6c49615461cfef223b4,Technical Description of Formula One Engine Structural Design,2010.0,,1.0,
1d34b360c4163d55cee80e1d6d7bcc2f6e49eece,Shifting Paradigms for Sustainable Development: Implications for Management Theory and Research,1995.0,,708.0,
31d3e7e0b9260d314c954d93692329e24bb26c09,Survey on a Google File System (GFS),2018.0,,0.0,
6d388e832c759a824000695ab8dcbed078b273b8,Goldenrod – a classical exponent in the urological phytotherapy,2004.0,Wiener Medizinische Wochenschrift,11.0,
bcf0ea109f6350c4c7a1d1014c411852a5e5c127,Albert Bierstadt: Art & Enterprise,1991.0,,6.0,
77d4d54ead5d2855a96a29d608d4fa5c775a5f31,Forecasting football results and the efficiency of fixed‐odds betting,2004.0,,89.0,
98bb60748eb8ef7a671cdd22faa87e377fd13060,Part-Based R-CNNs for Fine-Grained Category Detection,2014.0,ECCV,554.0,
28f65cef76e31ff1ad980c2a761af18852d276fc,Studies on benthic communities of rocky shores on the Brazilian coast and climate change monitoring: status of knowledge and challenges,2016.0,,5.0,
c27d57a2143f287686f8b4937c7b0f6a93cbef1f,Cloud Computing in Education,2013.0,IEEE Potentials,4.0,
26fc5c7f809164be905d6b8e66dbc12b9c772dc0,An ontology for ISO software engineering standards: 1) Creating the infrastructure,2014.0,Comput. Stand. Interfaces,24.0,
6cad0b45156f8a77bc96778b2cc77afeb4290aa7,How to develop accessibility UX design guideline in Samsung,2016.0,MobileHCI '16,1.0,
9790ac992462c7791279ef8869ae20754dda6d40,An Approach Toward Visual Autonomous Ship Board Landing of a VTOL UAV,2013.0,2013 International Conference on Unmanned Aircraft Systems (ICUAS),35.0,
9cf12ba53d54e87f9356435425ea1cde99e46328,A simple iterative map forecast of the COVID-19 pandemic,2020.0,,5.0,
94eeb60db852c99373d0709ac5b7e2a2fc3bf83f,"EMDR Europe Humanitarian Programs: Development, Current Status, and Future Challenges",2014.0,,0.0,
3c68ee393b744ba7c27dc8c1150358915d98d8e1,Information As Regulation: The Effect of Community Right to Know Laws on Toxic Emissions,1997.0,,346.0,
3faaf8e519eb901eb97bbbbdeea178f532a90823,"Integral Psychology: Consciousness, Spirit, Psychology, Therapy",1999.0,,332.0,
f7715ddac9a03f499e8c0d2ceb669da3c7ee879b,PHP Technology and It's Application,2000.0,,1.0,
f801859e4319e1b02d97175e768d5439437593a1,Building Brand Community,2002.0,,893.0,
c0bc0def9918e8c75ae9eae85a7157aeb09ac0a6,Holocaust lists and the Memorial Museum,2008.0,,2.0,
fffcad02cd142cccf5a1ca3e966ffc7c8aac783b,Measuring Customer’s Satisfaction on Bus Transportation,2014.0,,17.0,
f6f7ab33c9112dd1e70e965d67dda84f35212862,A Generic Toolkit for the Successful Management of Delphi Studies,2005.0,,148.0,
7bdabb88d7414c8860a2e482508ad2fd69b170bf,Middle East respiratory syndrome coronavirus neutralising serum antibodies in dromedary camels: a comparative serological study,2013.0,The Lancet Infectious Diseases,432.0,
5a78e6b4b3583de3859ac4510d0e4b3996b9c0d5,The link between childhood trauma and depression: Insights from HPA axis studies in humans,2008.0,Psychoneuroendocrinology,678.0,
a469020eebcb09b7f77d954c68402efed8baa311,Exhibiting Cultures: The Poetics and Politics of Museum Display,1991.0,,310.0,
d24168260d7c0c8e5d6a94f131010d60d0dd4b4b,The HPA axis in major depression: classical theories and new developments,2008.0,Trends in Neurosciences,799.0,
5b8dad0ab30f19ac29e7e5dbaeb4221a071dd856,Telecom Operators’ Business Model Innovation in a 5G World,2018.0,,3.0,
01ffe36651373471f3d2c17df9d0708107e71ef7,EULAR evidence-based recommendations for cardiovascular risk management in patients with rheumatoid arthritis and other forms of inflammatory arthritis.,2010.0,Annals of the rheumatic diseases,665.0,
a856cbaccf389941d23e43c9fe81ee9bd58d96d3,In-Plane Behavior of Structural Clay Tile Infilled Frames,1999.0,,56.0,
176fc7d0a481f79c3759f0c7e1e63865c6ea924b,Landscape genetics: combining landscape ecology and population genetics,2003.0,,1325.0,
4f95d386824643bf8e6cb5a54f3a7be0b4e578d3,Artificial Intelligence in Personalized Medicine Application of AI Algorithms in Solving Personalized Medicine Problems,2015.0,,5.0,
8552ffe1f5f7373febfdde2b3d8483be8697267e,Sing a Song of Sixpence: Mother Goose Rhymes as Political Satire in Tudor England,2000.0,,0.0,
80e3b10a848a4c0838bb7ff54d46bc71aa5a3422,High-power LED street lamp,2010.0,,0.0,
ecb5336bf7b54a62109f325e7152bb74c4c7f527,Document Modeling with Gated Recurrent Neural Network for Sentiment Classification,2015.0,EMNLP,637.0,
03122f868d27f9c6eb7649247f3b515e481492e6,Issues in Cultural Tourism Studies,2003.0,,197.0,
5735acc05781ea5a2a178bd7e3d3d8414d009561,Diamniotic placentation associated with omphalopagus conjoined twins: implications for a contemporary model of conjoined twinning.,1994.0,American journal of medical genetics,17.0,
c8a94ab4ac24cc5fc723ceac8a5abaeef5cfeb4d,Effective Crisis Communication: Moving From Crisis to Opportunity,2006.0,,199.0,
869d34a81958f2a1bd139fe064a67cd807263354,Termite-induced heterogeneity in African savanna vegetation: mechanisms and patterns,2010.0,,63.0,
982a64629320cc7a1000ac108a5e41270c84c6cb,Environmental Regulation and the Competitiveness of U.S. Manufacturing: What Does the Evidence Tell Us?,1995.0,,87.0,
5f030936819ad83d23522d1b5e299ab078891033,Onion dehydration: a review,2011.0,Journal of Food Science and Technology,26.0,
1c8066fa6f7037de866189c70ef2ec995208b011,Good Question! Statistical Ranking for Question Generation,2010.0,HLT-NAACL,193.0,
7e7b1825977bfd3eb9f4047a5e864736f870926b,"Mission design, operation and exploitation of the gravity field and steady-state ocean circulation explorer mission",2011.0,,91.0,
47653df4f4361c50810bf454a1c4a801e328ddcd,Estudo Comparativo Entre O Método Bobath E a Estimulação Elétrica Funcional Em Pés De Pacientes Hemiparéticos,2010.0,,0.0,
7e26cfc99686709c470f6d21cac2d74a3a816f8d,Novel action of paclitaxel against cancer cells: bystander effect mediated by reactive oxygen species.,2007.0,Cancer research,176.0,
38de43cc61a5a5202e315104ffbe6a72335928cb,Ontological Analysis and Redesign of Risk Modeling in ArchiMate,2018.0,2018 IEEE 22nd International Enterprise Distributed Object Computing Conference (EDOC),5.0,
fcbd2d6d6e074f0bba70d9a8996c2f51a04dfdff,Illness representations and coping with health threats,1984.0,,862.0,
31fd4426d84108717a2e7dda33a73f86cdf823b2,The Idea of Constitutional Pluralism,2002.0,,66.0,
08520aa3a638befe7301ab24c965b8a73a842c24,Age constraints on first versus second language acquisition: Evidence for linguistic plasticity and epigenesis,2003.0,Brain and Language,158.0,
2e4954400fcaa0dfb9628c6eb83004760fff9cf4,Functions in Basic Formal Ontology,2016.0,Applied Ontology,12.0,
4f5ba3b0c86cf29b18b7c17cf44e8a95fdfd882e,Teacher led school improvement: Teacher leadership in the UK,2006.0,,142.0,
fea9be70dd9019da271c36e77db34d64deffabd0,The Museum and the School,1939.0,Nature,9.0,
e030433a720c7894fd072f7e2718a6d9fc7f11fb,Communication Power,2009.0,,652.0,
5a290ede60b61b51c709e0a0cbc76c3d6fb6f025,"Sepsis: definition, epidemiology, and diagnosis.",2007.0,BMJ,264.0,
6eb922dcebaa489d3b3e916ebd92e501a5028475,Kubernetes Microservices with Docker,2016.0,Apress,4.0,
68d92a1f3d92536c50732ff19bc3dd0e9ac5e936,A text-mining analysis of the human phenome,2006.0,European Journal of Human Genetics,404.0,
36a2fe202f8b98e599522c064f1e7647a4b2448f,Art Nature Dialogues: Interviews with Environmental Artists,2004.0,,5.0,
ee91777913633ee9167ab53316741b4f0ac02073,Hospital facilities and the role of evidence‐based design,2007.0,,39.0,
9710a381fd9155e03efd88c2df3d7f0ecf2794a9,Investigating bank failures using text mining,2016.0,2016 IEEE Symposium Series on Computational Intelligence (SSCI),1.0,
f8debbb585606d503f1049cfba3c1ddbad9352a8,The value of online surveys,2005.0,Internet Res.,732.0,
51c49b8e006667bff0fd6590fec7f29278185cc1,Competent yet out in the Cold: Shifting Criteria for Hiring Reflect Backlash toward Agentic Women,2008.0,,111.0,
d61031326150ba23f90e6587c13d99188209250e,Collective dynamics of ‘small-world’ networks,1998.0,Nature,18076.0,
83cc23f949539b2936b10be3d6230fb92ed6645a,"Relationship between basal metabolic rate, gender, age, and body composition in 8,780 white obese subjects.",2010.0,Obesity,67.0,
fce47e2ba9bdca5209a1c7932bf1ac44f82e44fc,Leadership and Decision-Making,1973.0,,883.0,
f060a681224c3f4d4a1dc84c9bae074ce4a1de4b,A grounded investigation of game immersion,2004.0,CHI EA '04,543.0,
712b533fedfb5d66462a6c4cd7998a4b6eab2f57,The Dynamics of Airline Pricing and Competition,1990.0,,53.0,
e769e76e7f3b4c7d3c89e4508bf162e4ac9ca8d7,Pulse oximetry: principles and limitations.,1999.0,The American journal of emergency medicine,186.0,
168bd65ae047afecf3eea54786d8e6becba932f7,Learning in embedded systems,1993.0,,478.0,
d8bc26ab43da03685b3588bb43810d69623ad6a6,Chapter 2: mesopotamia.,2010.0,Handbook of clinical neurology,5.0,
2edb65cf2bd14fa4b80b8ed5dcc30ee37cb2d2cc,DOMe: A deduplication optimization method for the NewSQL database backups,2017.0,PloS one,1.0,
228a802f5902e84b777b7e1cae8617f02a1f7e92,Applying Faster R-CNN for Object Detection on Malaria Images,2017.0,CVPR 2017,21.0,
a43dd1af922953d5a79681fe2e5ef5ac39980139,A longitudinal study of the effect of an interprofessional education curriculum on student satisfaction and attitudes towards interprofessional teamwork and education.,2010.0,Journal of interprofessional care,98.0,
25a43e5d132468ccf7678d49c4abc3175a06a9b5,"Bioanalytical and chemical sensors using living taste, olfactory, and neural cells and tissues: a short review.",2015.0,The Analyst,4.0,
0af0746a2fe6f6f5ab0b9bcc52f89bf36e5ca8b1,Novel Coronavirus Pneumonia Outbreak in 2019: Computed Tomographic Findings in Two Cases,2020.0,Korean journal of radiology,20.0,
ea942c926bd20157b460df92b06df4bef9cba01c,VR Juggler: a virtual platform for virtual reality application development,2001.0,Proceedings IEEE Virtual Reality 2001,345.0,
6ce6efebe19f39df7f016751b85cfad107a1e306,The culture industry : selected essays on mass culture,1991.0,,446.0,
997d2f8a48db73164a8a9ca69d24616ab44b9e66,Phenix - a comprehensive python-based system for macromolecular structure solution,2009.0,,467.0,
acb678bdd7634055de18d0b89bb6a4890e6a0306,Remdesivir and chloroquine effectively inhibit the recently emerged novel coronavirus (2019-nCoV) in vitro,2020.0,Cell Research,370.0,
515c927f3d84c63e5682db8a374d9f6df9688528,"Comparison of Enzyme-Linked Immunosorbent Assay, Indirect Fluorescent Antibody Test, and Direct Agglutination Test for Detecting Toxoplasma Gondii Antibodies in Naturally Aborted Ovine Fetuses",1989.0,"Journal of veterinary diagnostic investigation : official publication of the American Association of Veterinary Laboratory Diagnosticians, Inc",23.0,
7058f8909fda4825e9ff8c45b7a0499d9d896eb2,Bitter to Better - How to Make Bitcoin a Better Currency,2012.0,Financial Cryptography,314.0,
59a3276cdb5c4b44218f7f827f707be6c8f7b9b3,Productivity Gains from Unemployment Insurance,1999.0,,228.0,
4debcb7fc5867416a32ea6b27a57524bb05aef45,"Creating Value in Online Communities: The Sociomaterial Configuring of Strategy, Platform, and Stakeholder Engagement",2016.0,Inf. Syst. Res.,39.0,
42e4763852d2ef1e282650a340283551f20f6f33,Service quality as a predictor of customer satisfaction and customer loyalty,2016.0,,13.0,
f86971f4567145a12b3866546e7ed1de653565e3,High‐resolution sequencing reveals unexplored archaeal diversity in freshwater wetland soils,2017.0,Environmental microbiology,19.0,
4f9b7fe029938305bfe5fd6c5fb66f4a01d83937,0 Theses about Mbse and Plm,,,3.0,
be59dcf189ffe37998f66b8188539d3e23710c01,"Mesopotamia, 482–330 B.C.",1994.0,,2.0,
97881c6577c310f50fc86738c0268896b970dfa4,Characteristics of and Important Lessons From the Coronavirus Disease 2019 (COVID-19) Outbreak in China: Summary of a Report of 72 314 Cases From the Chinese Center for Disease Control and Prevention.,2020.0,JAMA,615.0,
e7333071b6412652cfa17d0877d1e0470fb74e60,A National Customer Satisfaction Barometer: The Swedish Experience:,1992.0,,2331.0,
6784845390afae5cd4510223b5d877f6ba9d8d33,Opioid use disorder,2020.0,Nature Reviews Disease Primers,0.0,
7efe0f0b640425afef63ffb6fde8bbffc85a8aeb,El Modelo Económico Y La Cuestión Social,2000.0,,1.0,
a07594f0d7941430b995f80dc429ac12872ae3f3,Exploring the role of private wildlife ranching as a conservation tool in South Africa: stakeholder perspectives,2008.0,,70.0,
db355d4564cfe8fd4f55262c7cdbaec96ec60a8e,Persuasive technology: using computers to change what we think and do,2002.0,UBIQ,2450.0,
56aec52f026d80737bf0e932801d56a536c74876,"Planktonic foraminifera in recent bottom sediments of the Flores, Lombok and Savu Basins, eastern Indonesia",1989.0,,1.0,
0c158d348dbc0573f0ca724dd818d35d6c17820a,The ecology of visual landscapes: Exploring the conceptual common ground of visual and ecological landscape indicators,2009.0,,89.0,
e6bfa9f4a6af0c160f4ccb43b4a21f4b4abc49c0,Case study research,2015.0,,2358.0,
026ad8d8f0b5b91e4ddca4f1e03959a858b7dfe6,Radiation-induced bystander signalling in cancer therapy,2009.0,Nature Reviews Cancer,353.0,
9bb2d60ef1deba4e49fd893da0c7a6fdc5418928,The Anti-Corrosion Behavior of Lavandula dentata Aqueous Extract on Mild Steel in 1 M HCl,2013.0,,2.0,
43aea05425a3e3f04b676d3d8be643339507428a,Molecular Gastronomy: A New Emerging Scientific Discipline,2010.0,Chemical reviews,49.0,
06a507976cbe2acc162cb1ade65fe13cbdee350b,LED street lamp,2010.0,,0.0,
2698dfd1845cb3935398f5547ccca6dbf747b6b6,Self-Assessments of Standardized Scalp Massages for Androgenic Alopecia: Survey Results,2019.0,Dermatology and Therapy,1.0,
4ed50ef3ebdc06a2a4480f7a49a5403515862ea6,Real-time dynamic voltage scaling for low-power embedded operating systems,2001.0,SOSP '01,862.0,
6077d9a5fd23b4770c7a953585249555a70ac994,5G Mobile Phone Concept,2009.0,2009 6th IEEE Consumer Communications and Networking Conference,99.0,
e4fd8d33571bee713ec28fb5ff7c21ece35eb56a,Coronavirus Disease 2019 (COVID-19): What we know?,2020.0,Journal of medical virology,19.0,
dd6777799438ee5f1ee35757d54598b4e584f924,Chemical enhancement of footwear impressions in blood deposited on fabric--evaluating the use of alginate casting materials followed by chemical enhancement.,2010.0,Science & justice : journal of the Forensic Science Society,8.0,
60e0bed50d0c7e605c85555e5bb699f991323bc5,基因工程腺病毒（h101）瘤内注射联合化疗治疗头颈部及食管鳞癌的iii期临床研究,2004.0,,0.0,
0d2f114e88bc395b07d9ff93f3a3b72562d3bee0,ConceptNet at SemEval-2017 Task 2: Extending Word Embeddings with Multilingual Relational Knowledge,2017.0,SemEval@ACL,42.0,
4ee3e5728c755ccfe9abd92cee2e8699d3f7a405,정유(Essential Oil)와 그 응용,2008.0,,108.0,
dd43f1bc6fdc2ddb2a568efff5a73afc4e382862,Modeling online reviews with multi-grain topic models,2008.0,WWW,520.0,
ea99a5535388196d0d44be5b4d7dd02029a43bb2,Mask R-CNN,2017.0,2017 IEEE International Conference on Computer Vision (ICCV),2329.0,
b9adfeb7a32689811cdcd9e5262ffe1355b78aa5,Ancient mining and Zimbabwe,1974.0,,4.0,
aa283f3ebcc00458955138c62793dd7f9dc9fb48,The Competent Manager: A Model for Effective Performance,1982.0,,1394.0,
b898a415a57b6397b339aede868763a4882e3e5b,Image Repair Discourse and Crisis Communication,2009.0,,249.0,
f7fe641f6fb6769fa38291594d8aa9dedef78ffe,"Crystal engineering of novel cocrystals of a triazole drug with 1,4-dicarboxylic acids.",2003.0,Journal of the American Chemical Society,119.0,
a1e58f89f57f57fad3c77cd558444ad5ad64b525,The spread of true and false news online,2018.0,Science,622.0,
3ead8c6e3252d70702a23fe63cfcbe4a132d30a6,Conventional and novel stem cell based therapies for androgenic alopecia,2017.0,Stem cells and cloning : advances and applications,10.0,
8cb44f06586f609a29d9b496cc752ec01475dffe,SMOTE: Synthetic Minority Over-sampling Technique,2002.0,J. Artif. Intell. Res.,5980.0,
c8c65142899b822267096b867522926c165e533b,Augmented Reality in Education 4.0,2018.0,2018 IEEE 13th International Scientific and Technical Conference on Computer Sciences and Information Technologies (CSIT),48.0,
87a096f18feca755b7128528af1bbbab7f648f88,A Target Motad Analysis of Sweet Potato Marketing,1991.0,,3.0,
cb40a5e6d4fc0290452345791bb91040aed76961,Fake News Detection on Social Media: A Data Mining Perspective,2017.0,SKDD,363.0,
a5c0925c27349225b00375b6da26623522cc40c1,Guidelines for designing augmented reality games,2008.0,Future Play,40.0,
eba6af69f6f884aef4cb64a2c5fe87cff420c367,Price Discrimination in E-Commerce? An Examination of Dynamic Pricing in Name-Your-Own Price Markets,2011.0,MIS Quarterly,80.0,
d3493e9e320f5e92e4c5c84f755b810ed4cab85c,Effect of Ubrogepant vs Placebo on Pain and the Most Bothersome Associated Symptom in the Acute Treatment of Migraine: The ACHIEVE II Randomized Clinical Trial.,2019.0,JAMA,2.0,
080c9ab8afce4fbd9c37b8d4f5b76ddc216a4a87,Toward a Typological Theory of Project Management,1996.0,,262.0,
5626bfed230143502eeea2f112c3bc4cbe7c8b59,The UX Book: Process and Guidelines for Ensuring a Quality User Experience,2012.0,,231.0,
5a2de88464b2307f1fd89f3d84c6d507a49cb47f,Breast imaging. Preoperative breast cancer staging: comparison of USPIO-enhanced MR imaging and 18F-fluorodeoxyglucose (FDC) positron emission tomography (PET) imaging for axillary lymph node staging—initial findings,2006.0,European Radiology,19.0,
